transaction_id,account_id,customer_id,transaction_date,transaction_type,amount
3001,2001,1001,2026-08-01,Credit,25000
3002,2002,1002,2026-08-02,Debit,10000
3003,2003,1003,2026-08-03,Credit,18000
3004,2004,1004,2026-08-04,Debit,12000
3005,2005,1005,2026-08-05,Credit,9000
3006,2006,1006,2026-08-06,Debit,7000
3007,2001,1001,2026-08-07,Debit,5000
3008,2003,1003,2026-08-08,Credit,22000
3009,2004,1004,2026-08-09,Debit,15000
3010,2005,1005,2026-08-10,Credit,11000
3011,2006,1006,2026-08-11,Debit,6000
3012,9998,1006,2026-08-12,Credit,4000
3013,2002,1002,2026-08-13,Debit,-2500
3014,2001,1001,,Credit,3000
3015,2003,1003,2026-08-15,Debit,5000
