usage_id,customer_id,usage_date,data_used_gb,call_minutes
1,101,2026-08-01,12.5,120
2,102,2026-08-01,55.2,210
3,103,2026-08-02,8.1,80
4,104,2026-08-02,62.4,240
5,105,2026-08-03,20.3,140
6,106,2026-08-03,48.5,190
7,107,2026-08-04,5.2,60
8,108,2026-08-04,72.1,260
9,101,2026-08-05,18.4,130
10,102,2026-08-05,61.3,230
11,103,2026-08-06,9.8,90
12,104,2026-08-06,58.7,220
13,105,2026-08-07,25.6,150
14,106,2026-08-07,-4.0,100
15,107,2026-08-08,7.4,70
16,108,2026-08-08,80.5,300
17,999,2026-08-09,15.0,100
18,101,,10.0,100
19,102,2026-08-10,0.0,120
20,103,2026-08-10,11.2,85
20,103,2026-08-10,11.2,85
21,104,2026-08-11,65.0,250
